nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
PRESIDENT Fromage fondu,1,Produits Laitiers,1.520,,,,,Monoprix,Tunisie
TARTI FRO Préparation alimentaire...,1,Produits Laitiers,1.520,,,,,Monoprix,Tunisie
PRESIDENT Fromage fondu,1,Produits Laitiers,1.690,1.590,,,,Monoprix,Tunisie
DAILY Préparation alimentaire...,1,Produits Laitiers,1.720,,,,,Monoprix,Tunisie
LEDIOUX Préparation alimentaire...,1,Produits Laitiers,1.850,,,,,Monoprix,Tunisie
PRESIDENT Fromage râpé,1,Produits Laitiers,2.090,,,,,Monoprix,Tunisie
DAILY Préparation alimentaire en...,1,Produits Laitiers,2.190,,,,,Monoprix,Tunisie
MAJESTE Préparation alimentaire à...,1,Produits Laitiers,2.250,,,,,Monoprix,Tunisie
FROMY Préparation alimentaire...,1,Produits Laitiers,2.710,2.390,,,,Monoprix,Tunisie
FROMY Fromage slice burger,1,Produits Laitiers,2.500,,,,,Monoprix,Tunisie
SOUANI Mozzarella,1,Produits Laitiers,2.690,,,,,Monoprix,Tunisie
PRESIDENT Fromage slice,1,Produits Laitiers,2.710,,,,,Monoprix,Tunisie
PRESIDENT Fromage slice pizza,1,Produits Laitiers,2.790,,,,,Monoprix,Tunisie
PRESIDENT Fromage slice burger,1,Produits Laitiers,2.790,,,,,Monoprix,Tunisie
FRAIDOUX Fromage frais,1,Produits Laitiers,3.190,2.990,,,,Monoprix,Tunisie
DELICE Fromage frais,1,Produits Laitiers,3.080,,,,,Monoprix,Tunisie
DELICE Ricotte,1,Produits Laitiers,3.190,,,,,Monoprix,Tunisie
KAISER Ricotte,1,Produits Laitiers,3.250,,,,,Monoprix,Tunisie
MONTREGAL Préparation alimentaire...,1,Produits Laitiers,3.250,,,,,Monoprix,Tunisie
TOUS LES JOURS Préparation alimentaire...,1,Produits Laitiers,3.250,,,,,Monoprix,Tunisie
GOUTELA Préparation alimentaire...,1,Produits Laitiers,3.280,,,,,Monoprix,Tunisie
MAJESTE Ricotta,1,Produits Laitiers,3.310,,,,,Monoprix,Tunisie
PRESIDENT Goutta,1,Produits Laitiers,3.320,,,,,Monoprix,Tunisie
FROMY Fromage fondu,1,Produits Laitiers,3.390,,,,,Monoprix,Tunisie
DANINO Fromage blanc,1,Produits Laitiers,3.420,,,,,Monoprix,Tunisie
