nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
Thon en morceaux à l’huile végétale Le Grand Bleu 140 g,5,Épicerie,3.8,,,,,Otrity,Tunisie
Thon en morceaux à l’huile végétale Sidi Maaouia 130 g,5,Épicerie,3.8,,,,,Otrity,Tunisie
Thon entier à l’huile d’olive CAP AFRICA 400 g,5,Épicerie,14.0,,,,,Otrity,Tunisie
Thon entier à l’huile d’olive MAMI GARDEN 400 g,5,Épicerie,12.0,,,,,Otrity,Tunisie
Thon entier à l’huile d’olives  Fnar 400g rouge,5,Épicerie,16.8,,,,,Otrity,Tunisie
Thon entier à l’huile végétale Lebhour 400 g,5,Épicerie,11.5,,,,,Otrity,Tunisie
Thon entier à l’huile d’olive extra 160g fnar,5,Épicerie,8.04,,,,,Otrity,Tunisie
Thon entier à l’huile végétale Jalta (La Galite) 400 g,5,Épicerie,11.0,,,,,Otrity,Tunisie
Thon entier à l’huile végétale Neptune 400 g,5,Épicerie,10.5,,,,,Otrity,Tunisie
Thon le marin 400G HUILE D’OLIVE,5,Épicerie,12.8,,,,,Otrity,Tunisie
Thon Naturel Rayes Labhar,5,Épicerie,9.0,,,,,Otrity,Tunisie
THON SIDI DAOUAD 400G,5,Épicerie,10.8,,,,,Otrity,Tunisie
Tomate double concentré 400G Zina,5,Épicerie,2.8,,,,,Otrity,Tunisie
Tomate fraîche concassée JOUDA Ail Piment 400 gr,5,Épicerie,2.875,,,,,Otrity,Tunisie
Tomate fraîche concassée JOUDA Basilic 400 gr,5,Épicerie,2.674,,,,,Otrity,Tunisie
Tomates concassées à l’ail 400G SICAM,5,Épicerie,3.0,,,,,Otrity,Tunisie
Tomates concassées à l’ail STICAP 380G,5,Épicerie,3.0,,,,,Otrity,Tunisie
Tomates concassées au basilic LE PETIT PARIS 400G,5,Épicerie,3.0,,,,,Otrity,Tunisie
Tomates pelées concassées à l’ail Jouda 400g,5,Épicerie,2.724,,,,,Otrity,Tunisie
Vinaigrette COVINOR Fines herbes 500ML,5,Épicerie,8.5,,,,,Otrity,Tunisie
Vinaigrette COVINOR Moutarde à l’ancienne 500ML,5,Épicerie,8.5,,,,,Otrity,Tunisie
Vinaigrette COVINOR Nature 500ML,5,Épicerie,8.5,,,,,Otrity,Tunisie
10 Feuilles de brick Elgamra,5,Épicerie,1.74,,,,,Otrity,Tunisie
5 Feuilles de brick Elgamra,5,Épicerie,1.04,,,,,Otrity,Tunisie
Amidon de Maïs La Pâtissière 150g,5,Épicerie,2.85,,,,,Otrity,Tunisie
Bâtonnets RINGO TOM  70g,5,Épicerie,1.18,,,,,Otrity,Tunisie
Beignet Chocolat Saïda,5,Épicerie,0.626,,,,,Otrity,Tunisie
Bicarbonate de soude 25g La Pâtissière,5,Épicerie,0.376,,,,,Otrity,Tunisie
Biscotte Imperial au Son,5,Épicerie,5.7,,,,,Otrity,Tunisie
Biscottes Impérial avec Sel,5,Épicerie,5.7,,,,,Otrity,Tunisie
Biscottes Impérial sans Sel,5,Épicerie,5.7,,,,,Otrity,Tunisie
Biscuit Loopi coeur fondant Saida,5,Épicerie,1.377,,,,,Otrity,Tunisie
Biscuit Prince Fourré à la Vanille,5,Épicerie,0.907,,,,,Otrity,Tunisie
Biscuit Prince Fourré Chocolat 130g,5,Épicerie,1.669,,,,,Otrity,Tunisie
Biscuit Prince Fourré Chocolat 6 PIÈCES,5,Épicerie,0.908,,,,,Otrity,Tunisie
Biscuit Prince Fourré Vanille 130g,5,Épicerie,1.669,,,,,Otrity,Tunisie
Biscuit Tungo Saïda,5,Épicerie,1.659,,,,,Otrity,Tunisie
Biscuits Binto kif,5,Épicerie,1.64,,,,,Otrity,Tunisie
Biscuits Choco Tom goût Chocolat,5,Épicerie,1.74,,,,,Otrity,Tunisie
Biscuits cigares chocolat Star Kif,5,Épicerie,1.344,,,,,Otrity,Tunisie
Biscuits DCROC au Chocolat,5,Épicerie,1.734,,,,,Otrity,Tunisie
Biscuits DCROC crème Tiramisu,5,Épicerie,1.734,,,,,Otrity,Tunisie
Biscuits Fourrés Kif,5,Épicerie,1.74,,,,,Otrity,Tunisie
